title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
"Z2002363111",1,Done,99.17,-10.1615,"glide-grid_6eti",,,-10.1615,-0.48,,,,,,,,,,,,,1,,,-10.1615,-44.7053,-3.40904,-48.1144,3.95885,-65.9728
"Z2002363111",2,Done,95.87,-9.94871,"glide-grid_6eti",,,-9.94871,-0.957451,,,,,,,,,,,,,1,,,-9.94871,-43.3514,-1.81289,-45.1643,13.0707,-64.4928
"Z2068103262",3,Done,99.6,-4.98817,"glide-grid_6eti",,,-4.98817,-0.352225,,,,,,,,,,,,,1,,,-4.98817,-41.8773,-2.31954,-44.1968,12.7542,-45.9006
"Z2068103262",4,Done,68.19,-7.61703,"glide-grid_6eti",,,-7.61703,0,,,,,,,,,,,,,1,,,-7.61703,-40.244,-3.13739,-43.3814,7.85152,-57.2516
"Z1983120562",5,Done,63.88,-6.48457,"glide-grid_6eti",,,-6.48457,0,,,,,,,,,,,,,1,,,-6.48457,-35.371,-3.45461,-38.8256,3.99476,-56.1078
"Z1983120562",6,Done,55.36,-7.19343,"glide-grid_6eti",,,-7.19343,0,,,,,,,,,,,,,1,,,-7.19343,-36.9136,-3.25759,-40.1712,4.53565,-58.5492
"Z1983120562",7,Done,67.91,-7.01244,"glide-grid_6eti",,,-7.01244,-0.503607,,,,,,,,,,,,,1,,,-7.01244,-38.4723,-0.919014,-39.3913,9.05062,-53.3642
"Z1983120562",8,Done,62.84,-7.26761,"glide-grid_6eti",,,-7.26761,-0.278306,,,,,,,,,,,,,1,,,-7.26761,-37.2356,-2.05886,-39.2944,4.99034,-56.4468
"Z2384671295",9,Done,87.08,-6.58004,"glide-grid_6eti",,,-6.58004,0,,,,,,,,,,,,,1,,,-6.58004,-37.0835,-8.36585,-45.4493,8.17617,-63.523
"Z2384671295",10,Done,93.85,-7.07654,"glide-grid_6eti",,,-7.07654,-0.564871,,,,,,,,,,,,,1,,,-7.07654,-38.8466,-6.84851,-45.6951,2.75071,-68.2339
"Z2384671295",11,Done,86.78,-7.97014,"glide-grid_6eti",,,-7.97014,-0.680668,,,,,,,,,,,,,1,,,-7.97014,-40.3369,-1.55498,-41.8919,2.0839,-62.3639
"Z2384671295",12,Done,86.6,-9.08467,"glide-grid_6eti",,,-9.08467,-0.7,,,,,,,,,,,,,1,,,-9.08467,-42.2,-2.13501,-44.335,1.43584,-67.9571
"Z2596770048",13,Done,41.07,-7.63402,"glide-grid_6eti",,,-7.63402,0,,,,,,,,,,,,,1,,,-7.63402,-22.6068,-1.66615,-24.2729,13.7588,-30.6204
"Z2596770048",14,Done,75.88,-6.78667,"glide-grid_6eti",,,-6.78667,0,,,,,,,,,,,,,1,,,-6.78667,-21.3092,1.63928,-19.6699,5.5086,-31.3143
"Z2596770048",15,Done,51.2,-7.44598,"glide-grid_6eti",,,-7.44598,-0.324761,,,,,,,,,,,,,1,,,-7.44598,-29.5142,-0.496071,-30.0103,8.49913,-32.8443
"Z2596770048",16,Done,47.37,-3.61475,"glide-grid_6eti",,,-3.61475,0,,,,,,,,,,,,,1,,,-3.61475,-25.3876,-1.61357,-27.0012,0.361109,-27.748
"Z3074709836",17,Done,91.38,-5.84337,"glide-grid_6eti",,,-5.84337,-0.415772,,,,,,,,,,,,,1,,,-5.84337,-33.0548,-1.05035,-34.1052,8.31299,-51.7606
"Z3414205316",18,Done,27.96,-5.64359,"glide-grid_6eti",,,-5.64359,0,,,,,,,,,,,,,1,,,-5.64359,-50.45,-0.998444,-51.4484,7.47431,-65.5665
"Z3414205316",19,Done,29.16,-5.75807,"glide-grid_6eti",,,-5.75807,0,,,,,,,,,,,,,1,,,-5.75807,-40.3321,-1.98652,-42.3186,6.83369,-45.1499
"Z2219009435",20,Done,31.46,-4.73409,"glide-grid_6eti",,,-4.73409,0,,,,,,,,,,,,,1,,,-4.73409,-31.6243,1.08573,-30.5386,1.5954,-35.6056
"Z2219009435",21,Done,33.37,-5.44596,"glide-grid_6eti",,,-5.44596,-0.379636,,,,,,,,,,,,,1,,,-5.44596,-37.261,-0.240567,-37.5015,9.37933,-38.7982
"Z2219356001",22,Done,81.86,-6.04853,"glide-grid_6eti",,,-6.04853,0,,,,,,,,,,,,,1,,,-6.04853,-35.382,-1.03214,-36.4141,1.4661,-53.6262
"Z2219356001",23,Done,53.77,-6.04135,"glide-grid_6eti",,,-6.04135,0,,,,,,,,,,,,,1,,,-6.04135,-36.9344,-2.52795,-39.4623,0.829655,-55.3386
"Z2090480435",24,Done,55.44,-9.20696,"glide-grid_6eti",,,-9.20696,0,,,,,,,,,,,,,1,,,-9.20696,-45.4949,0.225311,-45.2696,5.11275,-60.3798
"Z1192056447",25,Done,47.68,-8.66244,"glide-grid_6eti",,,-8.66244,0,,,,,,,,,,,,,1,,,-8.66244,-39.9916,0.191214,-39.8004,1.51685,-61.0851
"Z1192056447",26,Done,50.68,-8.99022,"glide-grid_6eti",,,-8.99022,0,,,,,,,,,,,,,1,,,-8.99022,-44.1473,-0.700398,-44.8477,2.56998,-59.7984
"Z2621967794",27,Done,48.54,-7.43469,"glide-grid_6eti",,,-7.43469,-1.04271,,,,,,,,,,,,,1,,,-7.43469,-42.7587,-2.39092,-45.1496,0.33625,-72.9295
"Z2621967794",28,Done,57.3,-8.83061,"glide-grid_6eti",,,-8.83061,-0.16631,,,,,,,,,,,,,1,,,-8.83061,-44.0713,-4.05253,-48.1238,2.04707,-75.6073
"Z1032471986",29,Done,38.07,-6.03782,"glide-grid_6eti",,,-6.03782,0,,,,,,,,,,,,,1,,,-6.03782,-32.6182,-0.181973,-32.8002,2.53558,-44.6037
"Z1510958660",30,Done,45.78,-6.99227,"glide-grid_6eti",,,-6.99227,0,,,,,,,,,,,,,1,,,-6.99227,-34.5966,-2.57791,-37.1745,15.7049,-37.2351
