,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
0,Z2110198453,14033,Done,122.93,-13.2498,glide-grid_6eti,,,-13.2498,-1.10964,,,,,,,,,,,,,1.0,,,-13.2498,-56.4092,-5.88851,-62.2977,6.17817,-101.065,C[C@H](NC(=O)N1C[C@@H](c2ccccc2)[C@@H]2COCC[C@H]21)c1ccc(NC(=O)NC2CC2)cc1
3,Z806429696,520,Done,102.15,-12.5897,glide-grid_6eti,,,-12.5897,0.0,,,,,,,,,,,,,1.0,,,-12.5897,-65.6986,-4.60605,-70.3046,4.41912,-119.002,O=C(Nc1cccc(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1)[C@@H]1Cc2ccccc2O1
4,Z1481919041,10048,Done,87.66,-12.4785,glide-grid_6eti,,,-12.4785,-1.33,,,,,,,,,,,,,1.0,,,-12.4785,-50.3548,-7.83714,-58.192,3.55289,-94.9518,CS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(-c3nc(-c4ccccc4)n[nH]3)cc2)c1
5,Z1131324646,7628,Done,158.32,-12.4446,glide-grid_6eti,,,-12.4446,-0.7,,,,,,,,,,,,,1.0,,,-12.4446,-54.0151,-7.93463,-61.9497,14.3467,-93.1795,O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1
7,Z1024049144,12506,Done,105.92,-12.3272,glide-grid_6eti,,,-12.3272,0.0,,,,,,,,,,,,,1.0,,,-12.3272,-64.4036,-1.6039,-66.0075,1.89003,-99.6851,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)CC1
8,Z2143782877,20371,Done,43.4,-12.2376,glide-grid_6eti,,,-12.2376,-0.74879,,,,,,,,,,,,,1.0,,,-12.2376,-36.3712,-6.3853,-42.7565,6.04065,-68.6096,O=C(c1ccc2c(c1)CCCC2)N1CCCC[C@H]1c1nc(=O)[nH][nH]1
9,Z1024051690,9856,Done,66.7,-12.1942,glide-grid_6eti,,,-12.1942,0.0,,,,,,,,,,,,,1.0,,,-12.1942,-55.6222,-2.21848,-57.8406,7.80467,-94.9037,Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCC([C@H]4C(=O)Nc5ccccc54)CC3)ccc12
10,Z909179208,2787,Done,112.9,-12.1874,glide-grid_6eti,,,-12.1874,-1.20647,,,,,,,,,,,,,1.0,,,-12.1874,-53.0889,-7.1485,-60.2374,3.26214,-88.5386,NC(=O)[C@H]1CCCN(c2ccc(C(=O)N3CCC(c4cc5ccccc5[nH]4)CC3)cc2)C1
11,Z3396342599,6691,Done,78.52,-12.1792,glide-grid_6eti,,,-12.1792,-0.67887,,,,,,,,,,,,,1.0,,,-12.1792,-54.2453,-2.37945,-56.6247,5.91066,-99.4775,Cn1c(=O)[nH]c2ccc(C(=O)NCC[C@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)cc21
15,Z806431392,18276,Done,39.18,-11.66,glide-grid_6eti,,,-11.66,-0.530102,,,,,,,,,,,,,1.0,,,-11.66,-50.4346,-2.79855,-53.2331,0.523088,-83.0945,O=C([C@H]1CCCc2ccccc21)N1CCC(c2c[nH]c3ncccc23)CC1
16,Z1437153801,10910,Done,70.54,-11.656,glide-grid_6eti,,,-11.656,-0.7,,,,,,,,,,,,,1.0,,,-11.656,-49.6308,-2.8749,-52.5057,1.42751,-85.3207,O=C(c1ccnn1C1CCCC1)N1CCC(c2c[nH]c3ccccc23)CC1
17,Z4401400510,4313,Done,90.08,-11.6394,glide-grid_6eti,,,-11.6394,-0.7,,,,,,,,,,,,,1.0,,,-11.6394,-55.8271,-4.82402,-60.6512,6.01473,-101.964,Nc1nccc([C@H]2CCCN(C(=O)c3cccc(NS(=O)(=O)c4ccc(F)c(F)c4)c3)C2)n1
18,Z1020941934,17402,Done,64.59,-11.6172,glide-grid_6eti,,,-11.6172,0.0,,,,,,,,,,,,,1.0,,,-11.6172,-59.9661,-2.24193,-62.208,6.86212,-94.0985,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)CCC4)C2)CC1
20,Z1147996353,11790,Done,59.41,-11.5664,glide-grid_6eti,,,-11.5664,0.0,,,,,,,,,,,,,1.0,,,-11.5664,-53.6184,-1.01363,-54.632,1.59578,-88.2193,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3CC[C@H](c4ccccc4F)C3)ccc21
22,Z3437366554,3057,Done,40.61,-11.5252,glide-grid_6eti,,,-11.5252,-0.0100545,,,,,,,,,,,,,1.0,,,-11.5252,-49.3134,-7.10873,-56.4221,1.76921,-78.5396,C[C@@H]1Cc2c(C(=O)N3CCC(c4c[nH]c5ncccc45)CC3)n[nH]c2[C@H](C)O1
