ids,SMILES
Z2002363111,CC[C@](O)(C(=O)N1CCC(C(=O)N2CCOCC2)CC1)c1cccc(Cl)c1
Z2002363111,CC[C@@](O)(C(=O)N1CCC(C(=O)N2CCOCC2)CC1)c1cccc(Cl)c1
Z2068103262,CC[C@](NC(=O)Cc1c(C)nn(C)c1C)(C(=O)[O-])c1ccc(Cl)cc1
Z2068103262,CC[C@@](NC(=O)Cc1c(C)nn(C)c1C)(C(=O)[O-])c1ccc(Cl)cc1
Z1983120562,COc1cc(S(=O)(=O)N[C@H](C)[C@@H]2CCOC2)c(Cl)cc1C(=O)[O-]
Z1983120562,COc1cc(S(=O)(=O)N[C@@H](C)[C@@H]2CCOC2)c(Cl)cc1C(=O)[O-]
Z1983120562,COc1cc(S(=O)(=O)N[C@H](C)[C@H]2CCOC2)c(Cl)cc1C(=O)[O-]
Z1983120562,COc1cc(S(=O)(=O)N[C@@H](C)[C@H]2CCOC2)c(Cl)cc1C(=O)[O-]
Z2384671295,N#Cc1cnc(NC[C@@H]2CC[C@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
Z2384671295,N#Cc1cnc(NC[C@H]2CC[C@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
Z2384671295,N#Cc1cnc(NC[C@@H]2CC[C@@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
Z2384671295,N#Cc1cnc(NC[C@H]2CC[C@@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
Z2596770048,O=C(N1C[C@H]2COC[C@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
Z2596770048,O=C(N1C[C@H]2COC[C@@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
Z2596770048,O=C(N1C[C@@H]2COC[C@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
Z2596770048,O=C(N1C[C@@H]2COC[C@@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
Z3074709836,CC1CC(NS(=O)(=O)c2cc(F)ccc2NCC(=O)N(C)C)C1
Z3414205316,CC(=O)N1CC2(C1)[C@H](C(=O)N1CCc3ccccc3C1)CCS2(=O)=O
Z3414205316,CC(=O)N1CC2(C1)[C@@H](C(=O)N1CCc3ccccc3C1)CCS2(=O)=O
Z2219009435,CC(C)[C@@H]1CN(S(=O)(=O)c2cnn(C(C)C)c2)CCCO1
Z2219009435,CC(C)[C@H]1CN(S(=O)(=O)c2cnn(C(C)C)c2)CCCO1
Z2219356001,C[NH+]1CCC[C@]2(CC[NH+](CC(=O)Nc3ccc4c(c3)CCC4)C2)C1
